property_id,address,postcode,latitude,longitude
0f040f4b12c5,"Flat 53, Leyland Court Angel Way, Romford, RM1 1AF",RM1 1AF,51.577826,0.177375
4d1e5b918318,"55, Gibson Court Regarth Avenue, Romford, RM1 1AJ",RM1 1AJ,51.573056,0.183353
0ce0ffc00c2e,"Flat 20, Wells Court Regarth Avenue, Romford, RM1 1AL",RM1 1AL,51.572671,0.1828
18079c8acbe0,"Flat 21, Wells Court Regarth Avenue, Romford, RM1 1AL",RM1 1AL,51.572671,0.1828
203a1e62bae6,"Flat 17, Wells Court Regarth Avenue, Romford, RM1 1AL",RM1 1AL,51.572671,0.1828
244abecf5590,"Flat 6, Wells Court Regarth Avenue, Romford, RM1 1AL",RM1 1AL,51.572671,0.1828
3c168c2d8043,"Flat 22, Wells Court Regarth Avenue, Romford, RM1 1AL",RM1 1AL,51.572671,0.1828
42c9c7337ce8,"Flat 13, Wells Court Regarth Avenue, Romford, RM1 1AL",RM1 1AL,51.572671,0.1828
5dc0f2db57e5,"Flat 10, Wells Court Regarth Avenue, Romford, RM1 1AL",RM1 1AL,51.572671,0.1828
66140fe349f9,"Flat 4, Wells Court Regarth Avenue, Romford, RM1 1AL",RM1 1AL,51.572671,0.1828
699800b93ec8,"Flat 3, Wells Court Regarth Avenue, Romford, RM1 1AL",RM1 1AL,51.572671,0.1828
aec53b1a977c,"Flat 19, Wells Court Regarth Avenue, Romford, RM1 1AL",RM1 1AL,51.572671,0.1828
c07cbcfc3426,"Flat 12, Wells Court Regarth Avenue, Romford, RM1 1AL",RM1 1AL,51.572671,0.1828
d4c017aef3c0,"Flat 14, Wells Court Regarth Avenue, Romford, RM1 1AL",RM1 1AL,51.572671,0.1828
d8391053d21b,"Flat 7, Wells Court Regarth Avenue, Romford, RM1 1AL",RM1 1AL,51.572671,0.1828
e0d02055f4a3,"Flat 1, Wells Court Regarth Avenue, Romford, RM1 1AL",RM1 1AL,51.572671,0.1828
021e053968bf,"Flat 31, The Gatehouse High Street, Romford, RM1 1AN",RM1 1AN,51.577589,0.17898
0ed877687509,"Flat 30, The Gatehouse High Street, Romford, RM1 1AN",RM1 1AN,51.577589,0.17898
1179696a24ff,"Flat 22, The Gatehouse High Street, Romford, RM1 1AN",RM1 1AN,51.577589,0.17898
2e1f767910e3,"Flat 35, The Gatehouse High Street, Romford, RM1 1AN",RM1 1AN,51.577589,0.17898
49a0ba3dcc5a,"Flat 7, The Gatehouse High Street, Romford, RM1 1AN",RM1 1AN,51.577589,0.17898
4da374b1e172,"Flat 19, The Gatehouse High Street, Romford, RM1 1AN",RM1 1AN,51.577589,0.17898
4e1a1141cdf0,"Flat 21, The Gatehouse High Street, Romford, RM1 1AN",RM1 1AN,51.577589,0.17898
5ced5f3507a5,"Flat 5, The Gatehouse High Street, Romford, RM1 1AN",RM1 1AN,51.577589,0.17898
62f0846ed734,"Flat 12, The Gatehouse High Street, Romford, RM1 1AN",RM1 1AN,51.577589,0.17898
65b92a2152df,"Flat 6, The Gatehouse High Street, Romford, RM1 1AN",RM1 1AN,51.577589,0.17898
6cde0fd37093,"Flat 34, The Gatehouse High Street, Romford, RM1 1AN",RM1 1AN,51.577589,0.17898
7eb5a6dc5337,"Flat 23, The Gatehouse High Street, Romford, RM1 1AN",RM1 1AN,51.577589,0.17898
8d10d7756f22,"Flat 33, The Gatehouse High Street, Romford, RM1 1AN",RM1 1AN,51.577589,0.17898
96d2b439affc,"Flat 3, The Gatehouse High Street, Romford, RM1 1AN",RM1 1AN,51.577589,0.17898
9bf38c0b4dce,"Flat 20, The Gatehouse High Street, Romford, RM1 1AN",RM1 1AN,51.577589,0.17898
b3248fb9ce4a,"Flat 16, The Gatehouse High Street, Romford, RM1 1AN",RM1 1AN,51.577589,0.17898
b6f5a148397a,"Flat 4, The Gatehouse High Street, Romford, RM1 1AN",RM1 1AN,51.577589,0.17898
bcfad177fc16,"Flat 11, The Gatehouse High Street, Romford, RM1 1AN",RM1 1AN,51.577589,0.17898
c7c444c05bf8,"Flat 2, The Gatehouse High Street, Romford, RM1 1AN",RM1 1AN,51.577589,0.17898
d62d59cc6330,"Flat 15, The Gatehouse High Street, Romford, RM1 1AN",RM1 1AN,51.577589,0.17898
d69fc384a304,"Flat 18, The Gatehouse High Street, Romford, RM1 1AN",RM1 1AN,51.577589,0.17898
e75171e6a8d2,"Flat 26, The Gatehouse High Street, Romford, RM1 1AN",RM1 1AN,51.577589,0.17898
eaad380d2253,"Flat 24, The Gatehouse High Street, Romford, RM1 1AN",RM1 1AN,51.577589,0.17898
fec3cf34b79a,"Flat 27, The Gatehouse High Street, Romford, RM1 1AN",RM1 1AN,51.577589,0.17898
2fb9c26965f6,"14, Amber Court High Street, Romford, RM1 1AP",RM1 1AP,51.577706,0.179953
3fa908f765c4,"13, Amber Court High Street, Romford, RM1 1AP",RM1 1AP,51.577706,0.179953
574d4160db48,"25, Amber Court High Street, Romford, RM1 1AP",RM1 1AP,51.577706,0.179953
5e39a5f595d2,"19, Amber Court High Street, Romford, RM1 1AP",RM1 1AP,51.577706,0.179953
729567367a67,"4, Amber Court High Street, Romford, RM1 1AP",RM1 1AP,51.577706,0.179953
7b2f12050388,"8, Amber Court High Street, Romford, RM1 1AP",RM1 1AP,51.577706,0.179953
9f7ef4ce7149,"3, Amber Court High Street, Romford, RM1 1AP",RM1 1AP,51.577706,0.179953
a78d9cde9670,"17, Amber Court High Street, Romford, RM1 1AP",RM1 1AP,51.577706,0.179953
a8787f76efd4,"1, Amber Court High Street, Romford, RM1 1AP",RM1 1AP,51.577706,0.179953
bdc3b5176f86,"10, Amber Court High Street, Romford, RM1 1AP",RM1 1AP,51.577706,0.179953
c314a6954ecb,"18, Amber Court High Street, Romford, RM1 1AP",RM1 1AP,51.577706,0.179953
cefaffd55951,"15, Amber Court High Street, Romford, RM1 1AP",RM1 1AP,51.577706,0.179953
d55bb34a35ed,"24, Amber Court High Street, Romford, RM1 1AP",RM1 1AP,51.577706,0.179953
d6236577f64c,"11, Amber Court High Street, Romford, RM1 1AP",RM1 1AP,51.577706,0.179953
